"subject" "activity" "measurement_id"
1 "STANDING" 1
1 "STANDING" 2
1 "STANDING" 3
1 "STANDING" 4
1 "STANDING" 5
1 "STANDING" 6
1 "STANDING" 7
1 "STANDING" 8
1 "STANDING" 9
1 "STANDING" 10
1 "STANDING" 11
1 "STANDING" 12
1 "STANDING" 13
1 "STANDING" 14
1 "STANDING" 15
1 "STANDING" 16
1 "STANDING" 17
1 "STANDING" 18
1 "STANDING" 19
1 "STANDING" 20
1 "STANDING" 21
1 "STANDING" 22
1 "STANDING" 23
1 "STANDING" 24
1 "STANDING" 25
1 "STANDING" 26
1 "STANDING" 27
1 "SITTING" 28
1 "SITTING" 29
1 "SITTING" 30
1 "SITTING" 31
1 "SITTING" 32
1 "SITTING" 33
1 "SITTING" 34
1 "SITTING" 35
1 "SITTING" 36
1 "SITTING" 37
1 "SITTING" 38
1 "SITTING" 39
1 "SITTING" 40
1 "SITTING" 41
1 "SITTING" 42
1 "SITTING" 43
1 "SITTING" 44
1 "SITTING" 45
1 "SITTING" 46
1 "SITTING" 47
1 "SITTING" 48
1 "SITTING" 49
1 "SITTING" 50
1 "SITTING" 51
1 "LAYING" 52
1 "LAYING" 53
1 "LAYING" 54
1 "LAYING" 55
1 "LAYING" 56
1 "LAYING" 57
1 "LAYING" 58
1 "LAYING" 59
1 "LAYING" 60
1 "LAYING" 61
1 "LAYING" 62
1 "LAYING" 63
1 "LAYING" 64
1 "LAYING" 65
1 "LAYING" 66
1 "LAYING" 67
1 "LAYING" 68
1 "LAYING" 69
1 "LAYING" 70
1 "LAYING" 71
1 "LAYING" 72
1 "LAYING" 73
1 "LAYING" 74
1 "LAYING" 75
1 "LAYING" 76
1 "LAYING" 77
1 "LAYING" 78
1 "WALKING" 79
1 "WALKING" 80
1 "WALKING" 81
1 "WALKING" 82
1 "WALKING" 83
1 "WALKING" 84
1 "WALKING" 85
1 "WALKING" 86
1 "WALKING" 87
1 "WALKING" 88
1 "WALKING" 89
1 "WALKING" 90
1 "WALKING" 91
1 "WALKING" 92
1 "WALKING" 93
1 "WALKING" 94
1 "WALKING" 95
1 "WALKING" 96
1 "WALKING" 97
1 "WALKING" 98
1 "WALKING" 99
1 "WALKING" 100
1 "WALKING" 101
1 "WALKING" 102
1 "WALKING" 103
1 "WALKING" 104
1 "WALKING" 105
1 "WALKING" 106
1 "WALKING" 107
1 "WALKING" 108
1 "WALKING" 109
1 "WALKING" 110
1 "WALKING" 111
1 "WALKING" 112
1 "WALKING" 113
1 "WALKING" 114
1 "WALKING" 115
1 "WALKING" 116
1 "WALKING" 117
1 "WALKING" 118
1 "WALKING" 119
1 "WALKING" 120
1 "WALKING" 121
1 "WALKING" 122
1 "WALKING" 123
1 "WALKING" 124
1 "WALKING" 125
1 "WALKING_DOWNSTAIRS" 126
1 "WALKING_DOWNSTAIRS" 127
1 "WALKING_DOWNSTAIRS" 128
1 "WALKING_DOWNSTAIRS" 129
1 "WALKING_DOWNSTAIRS" 130
1 "WALKING_DOWNSTAIRS" 131
1 "WALKING_DOWNSTAIRS" 132
1 "WALKING_DOWNSTAIRS" 133
1 "WALKING_DOWNSTAIRS" 134
1 "WALKING_DOWNSTAIRS" 135
1 "WALKING_DOWNSTAIRS" 136
1 "WALKING_DOWNSTAIRS" 137
1 "WALKING_DOWNSTAIRS" 138
1 "WALKING_DOWNSTAIRS" 139
1 "WALKING_DOWNSTAIRS" 140
1 "WALKING_DOWNSTAIRS" 141
1 "WALKING_DOWNSTAIRS" 142
1 "WALKING_DOWNSTAIRS" 143
1 "WALKING_DOWNSTAIRS" 144
1 "WALKING_DOWNSTAIRS" 145
1 "WALKING_DOWNSTAIRS" 146
1 "WALKING_DOWNSTAIRS" 147
1 "WALKING_DOWNSTAIRS" 148
1 "WALKING_DOWNSTAIRS" 149
1 "WALKING_DOWNSTAIRS" 150
1 "WALKING_UPSTAIRS" 151
1 "WALKING_UPSTAIRS" 152
1 "WALKING_UPSTAIRS" 153
1 "WALKING_UPSTAIRS" 154
1 "WALKING_UPSTAIRS" 155
1 "WALKING_UPSTAIRS" 156
1 "WALKING_UPSTAIRS" 157
1 "WALKING_UPSTAIRS" 158
1 "WALKING_UPSTAIRS" 159
1 "WALKING_UPSTAIRS" 160
1 "WALKING_UPSTAIRS" 161
1 "WALKING_UPSTAIRS" 162
1 "WALKING_UPSTAIRS" 163
1 "WALKING_UPSTAIRS" 164
1 "WALKING_UPSTAIRS" 165
1 "WALKING_UPSTAIRS" 166
1 "WALKING_UPSTAIRS" 167
1 "WALKING_UPSTAIRS" 168
1 "WALKING_UPSTAIRS" 169
1 "WALKING_UPSTAIRS" 170
1 "WALKING_UPSTAIRS" 171
1 "WALKING_UPSTAIRS" 172
1 "WALKING_UPSTAIRS" 173
1 "WALKING_UPSTAIRS" 174
1 "WALKING_UPSTAIRS" 175
1 "WALKING_UPSTAIRS" 176
1 "STANDING" 177
1 "STANDING" 178
1 "STANDING" 179
1 "STANDING" 180
1 "STANDING" 181
1 "STANDING" 182
1 "STANDING" 183
1 "STANDING" 184
1 "STANDING" 185
1 "STANDING" 186
1 "STANDING" 187
1 "STANDING" 188
1 "STANDING" 189
1 "STANDING" 190
1 "STANDING" 191
1 "STANDING" 192
1 "STANDING" 193
1 "STANDING" 194
1 "STANDING" 195
1 "STANDING" 196
1 "STANDING" 197
1 "STANDING" 198
1 "STANDING" 199
1 "STANDING" 200
1 "STANDING" 201
1 "STANDING" 202
1 "SITTING" 203
1 "SITTING" 204
1 "SITTING" 205
1 "SITTING" 206
1 "SITTING" 207
1 "SITTING" 208
1 "SITTING" 209
1 "SITTING" 210
1 "SITTING" 211
1 "SITTING" 212
1 "SITTING" 213
1 "LAYING" 214
1 "LAYING" 215
1 "LAYING" 216
1 "LAYING" 217
1 "LAYING" 218
1 "LAYING" 219
1 "LAYING" 220
1 "LAYING" 221
1 "LAYING" 222
1 "LAYING" 223
1 "LAYING" 224
1 "LAYING" 225
1 "SITTING" 226
1 "SITTING" 227
1 "SITTING" 228
1 "SITTING" 229
1 "SITTING" 230
1 "SITTING" 231
1 "SITTING" 232
1 "SITTING" 233
1 "SITTING" 234
1 "SITTING" 235
1 "SITTING" 236
1 "SITTING" 237
1 "LAYING" 238
1 "LAYING" 239
1 "LAYING" 240
1 "LAYING" 241
1 "LAYING" 242
1 "LAYING" 243
1 "LAYING" 244
1 "LAYING" 245
1 "LAYING" 246
1 "LAYING" 247
1 "LAYING" 248
1 "WALKING" 249
1 "WALKING" 250
1 "WALKING" 251
1 "WALKING" 252
1 "WALKING" 253
1 "WALKING" 254
1 "WALKING" 255
1 "WALKING" 256
1 "WALKING" 257
1 "WALKING" 258
1 "WALKING" 259
1 "WALKING" 260
1 "WALKING" 261
1 "WALKING" 262
1 "WALKING" 263
1 "WALKING" 264
1 "WALKING" 265
1 "WALKING" 266
1 "WALKING" 267
1 "WALKING" 268
1 "WALKING" 269
1 "WALKING" 270
1 "WALKING" 271
1 "WALKING" 272
1 "WALKING" 273
1 "WALKING" 274
1 "WALKING" 275
1 "WALKING" 276
1 "WALKING" 277
1 "WALKING" 278
1 "WALKING" 279
1 "WALKING" 280
1 "WALKING" 281
1 "WALKING" 282
1 "WALKING" 283
1 "WALKING" 284
1 "WALKING" 285
1 "WALKING" 286
1 "WALKING" 287
1 "WALKING" 288
1 "WALKING" 289
1 "WALKING" 290
1 "WALKING" 291
1 "WALKING" 292
1 "WALKING" 293
1 "WALKING" 294
1 "WALKING" 295
1 "WALKING" 296
1 "WALKING_DOWNSTAIRS" 297
1 "WALKING_DOWNSTAIRS" 298
1 "WALKING_DOWNSTAIRS" 299
1 "WALKING_DOWNSTAIRS" 300
1 "WALKING_DOWNSTAIRS" 301
1 "WALKING_DOWNSTAIRS" 302
1 "WALKING_DOWNSTAIRS" 303
1 "WALKING_UPSTAIRS" 304
1 "WALKING_UPSTAIRS" 305
1 "WALKING_UPSTAIRS" 306
1 "WALKING_UPSTAIRS" 307
1 "WALKING_UPSTAIRS" 308
1 "WALKING_UPSTAIRS" 309
1 "WALKING_UPSTAIRS" 310
1 "WALKING_UPSTAIRS" 311
1 "WALKING_UPSTAIRS" 312
1 "WALKING_UPSTAIRS" 313
1 "WALKING_UPSTAIRS" 314
1 "WALKING_UPSTAIRS" 315
1 "WALKING_UPSTAIRS" 316
1 "WALKING_UPSTAIRS" 317
1 "WALKING_UPSTAIRS" 318
1 "WALKING_UPSTAIRS" 319
1 "WALKING_UPSTAIRS" 320
1 "WALKING_UPSTAIRS" 321
1 "WALKING_UPSTAIRS" 322
1 "WALKING_UPSTAIRS" 323
1 "WALKING_UPSTAIRS" 324
1 "WALKING_UPSTAIRS" 325
1 "WALKING_UPSTAIRS" 326
1 "WALKING_UPSTAIRS" 327
1 "WALKING_UPSTAIRS" 328
1 "WALKING_UPSTAIRS" 329
1 "WALKING_UPSTAIRS" 330
1 "WALKING_DOWNSTAIRS" 331
1 "WALKING_DOWNSTAIRS" 332
1 "WALKING_DOWNSTAIRS" 333
1 "WALKING_DOWNSTAIRS" 334
